DateTime,OperationTime_sec,OS_User,predict,TypingNum,MouseMove
25/5/2020 17:30,8347,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80752,2504,18559
6/12/2020 5:03,4006,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80753,853,28481
13/7/2020 6:03,3914,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80754,2235,25235
30/10/2020 11:31,2647,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80755,767,27956
13/2/2021 20:46,3704,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80756,2833,3330
25/6/2020 7:29,8568,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80757,546,10954
21/10/2020 15:09,4723,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80758,2042,26309
17/11/2020 8:38,8110,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80759,2295,20695
14/4/2020 11:29,5985,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80760,2451,3064
18/6/2020 8:11,2643,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80761,921,24299
13/2/2021 5:02,8904,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80762,1812,25425
21/3/2020 16:28,4803,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80763,2935,27935
2/8/2020 16:41,6810,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80764,2422,11516
13/3/2021 2:25,6426,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80765,571,7774
13/1/2021 17:33,2619,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80766,362,28019
29/11/2020 12:15,7001,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80767,2799,10106
22/2/2021 23:31,651,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80768,619,16137
30/10/2020 11:06,7130,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80769,885,10404
1/3/2021 0:04,1229,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80770,833,29351
29/5/2020 1:37,3539,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80771,720,9406
22/11/2020 10:26,7918,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80772,1677,4197
28/6/2020 19:55,608,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80773,210,16520
25/7/2020 6:46,3327,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80774,652,5343
18/7/2020 3:47,1508,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80775,1234,19774
5/9/2020 23:32,619,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80776,91,14445
4/2/2021 12:07,7079,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80777,1880,9583
8/9/2020 6:48,649,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80778,937,11709
12/2/2021 5:09,8203,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80779,3125,17141
6/4/2020 11:09,8003,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80780,475,29053
2/5/2020 14:48,8321,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80781,1898,28929
5/6/2020 7:38,2507,Crimson,59ea27c7-f4c3-44dd-a889-80a17eb80782,568,22273
